Line 1256: depth 11 (1 opens, 0 closes)
Line 1273: depth 10 (0 opens, 1 closes)
Line 1274: depth 9 (0 opens, 1 closes)
Line 1276: depth 8 (0 opens, 1 closes)
Line 1277: depth 7 (0 opens, 1 closes)
Line 1278: depth 6 (0 opens, 1 closes)
Line 1279: depth 5 (0 opens, 1 closes)
Line 1283: depth 6 (1 opens, 0 closes)
Line 1284: depth 7 (1 opens, 0 closes)
Line 1285: depth 8 (1 opens, 0 closes)
Line 1287: depth 9 (1 opens, 0 closes)
Line 1296: depth 8 (0 opens, 1 closes)
Line 1297: depth 7 (0 opens, 1 closes)
Line 1298: depth 8 (1 opens, 0 closes)
Line 1301: depth 7 (0 opens, 1 closes)
Line 1302: depth 6 (0 opens, 1 closes)
Line 1304: depth 7 (1 opens, 0 closes)
Line 1307: depth 6 (0 opens, 1 closes)
Line 1309: depth 7 (1 opens, 0 closes)
Line 1319: depth 6 (0 opens, 1 closes)
Line 1321: depth 7 (1 opens, 0 closes)
Line 1322: depth 8 (1 opens, 0 closes)
Line 1323: depth 9 (1 opens, 0 closes)
Line 1324: depth 10 (1 opens, 0 closes)
Line 1325: depth 11 (1 opens, 0 closes)
Line 1327: depth 10 (0 opens, 1 closes)
Line 1328: depth 11 (1 opens, 0 closes)
Line 1333: depth 10 (0 opens, 1 closes)
Line 1334: depth 9 (0 opens, 1 closes)
Line 1340: depth 10 (1 opens, 0 closes)
Line 1342: depth 9 (0 opens, 1 closes)
Line 1343: depth 8 (0 opens, 1 closes)
Line 1345: depth 9 (1 opens, 0 closes)
Line 1346: depth 10 (1 opens, 0 closes)
Line 1347: depth 11 (1 opens, 0 closes)
Line 1348: depth 12 (1 opens, 0 closes)
Line 1350: depth 11 (0 opens, 1 closes)
Line 1351: depth 12 (1 opens, 0 closes)
Line 1354: depth 11 (0 opens, 1 closes)
Line 1355: depth 10 (0 opens, 1 closes)
Line 1361: depth 11 (1 opens, 0 closes)
Line 1363: depth 10 (0 opens, 1 closes)
Line 1365: depth 11 (1 opens, 0 closes)
Line 1373: depth 10 (0 opens, 1 closes)
Line 1375: depth 9 (0 opens, 1 closes)
Line 1376: depth 8 (0 opens, 1 closes)
Line 1379: depth 9 (1 opens, 0 closes)
Line 1380: depth 10 (1 opens, 0 closes)
Line 1381: depth 11 (1 opens, 0 closes)
Line 1382: depth 12 (1 opens, 0 closes)
Line 1384: depth 11 (0 opens, 1 closes)
Line 1385: depth 12 (1 opens, 0 closes)
Line 1388: depth 11 (0 opens, 1 closes)
Line 1389: depth 10 (0 opens, 1 closes)
Line 1390: depth 9 (0 opens, 1 closes)
Line 1392: depth 10 (1 opens, 0 closes)
Line 1408: depth 11 (1 opens, 0 closes)
Line 1410: depth 10 (0 opens, 1 closes)
Line 1411: depth 11 (1 opens, 0 closes)
Line 1414: depth 10 (0 opens, 1 closes)
Line 1416: depth 11 (1 opens, 0 closes)
Line 1418: depth 10 (0 opens, 1 closes)
Line 1423: depth 11 (1 opens, 0 closes)
Line 1425: depth 10 (0 opens, 1 closes)
Line 1427: depth 9 (0 opens, 1 closes)
Line 1428: depth 8 (0 opens, 1 closes)
Line 1429: depth 7 (0 opens, 1 closes)
Line 1431: depth 6 (0 opens, 1 closes)
Line 1436: depth 5 (0 opens, 1 closes)
Line 1437: depth 4 (0 opens, 1 closes)
Final depth: 4
